golden_boot_rank,player,country,position_group,american_odds,implied_golden_boot_pct,team_win_group_pct,team_reach_final_pct,team_win_world_cup_pct,source_rank,source_url,notes
1,Kylian Mbappé,France,Forward,+600,14.3%,69.7%,25.0%,16.7%,1,https://www.rotowire.com/soccer/article/2026-world-cup-golden-boot-odds-full-player-list-mbappe-kane-haaland-108917,Position group manually normalized as Forward or Midfielder; defenders and goalkeepers excluded.
14,Julián Álvarez,Argentina,Forward,+3500,2.8%,77.3%,19.0%,10.0%,14,https://www.rotowire.com/soccer/article/2026-world-cup-golden-boot-odds-full-player-list-mbappe-kane-haaland-108917,Position group manually normalized as Forward or Midfielder; defenders and goalkeepers excluded.
15,Álvaro Morata,Spain,Forward,+3500,2.8%,81.8%,31.3%,17.4%,15,https://www.rotowire.com/soccer/article/2026-world-cup-golden-boot-odds-full-player-list-mbappe-kane-haaland-108917,Position group manually normalized as Forward or Midfielder; defenders and goalkeepers excluded.
16,Richarlison,Brazil,Forward,+3500,2.8%,78.7%,20.0%,11.1%,16,https://www.rotowire.com/soccer/article/2026-world-cup-golden-boot-odds-full-player-list-mbappe-kane-haaland-108917,Position group manually normalized as Forward or Midfielder; defenders and goalkeepers excluded.
17,João Pedro,Brazil,Forward,+3500,2.8%,78.7%,20.0%,11.1%,17,https://www.rotowire.com/soccer/article/2026-world-cup-golden-boot-odds-full-player-list-mbappe-kane-haaland-108917,Position group manually normalized as Forward or Midfielder; defenders and goalkeepers excluded.
18,Cody Gakpo,Netherlands,Forward,+4000,2.4%,56.5%,10.0%,4.8%,18,https://www.rotowire.com/soccer/article/2026-world-cup-golden-boot-odds-full-player-list-mbappe-kane-haaland-108917,Position group manually normalized as Forward or Midfielder; defenders and goalkeepers excluded.
19,Bukayo Saka,England,Forward,+4000,2.4%,76.2%,25.0%,13.3%,19,https://www.rotowire.com/soccer/article/2026-world-cup-golden-boot-odds-full-player-list-mbappe-kane-haaland-108917,Position group manually normalized as Forward or Midfielder; defenders and goalkeepers excluded.
20,Memphis Depay,Netherlands,Forward,+4000,2.4%,56.5%,10.0%,4.8%,20,https://www.rotowire.com/soccer/article/2026-world-cup-golden-boot-odds-full-player-list-mbappe-kane-haaland-108917,Position group manually normalized as Forward or Midfielder; defenders and goalkeepers excluded.
21,Ferran Torres,Spain,Forward,+4000,2.4%,81.8%,31.3%,17.4%,21,https://www.rotowire.com/soccer/article/2026-world-cup-golden-boot-odds-full-player-list-mbappe-kane-haaland-108917,Position group manually normalized as Forward or Midfielder; defenders and goalkeepers excluded.
22,Mikel Merino,Spain,Midfielder,+4000,2.4%,81.8%,31.3%,17.4%,22,https://www.rotowire.com/soccer/article/2026-world-cup-golden-boot-odds-full-player-list-mbappe-kane-haaland-108917,Position group manually normalized as Forward or Midfielder; defenders and goalkeepers excluded.
23,Igor Thiago,Belgium,Forward,+4000,2.4%,69.7%,7.7%,2.8%,23,https://www.rotowire.com/soccer/article/2026-world-cup-golden-boot-odds-full-player-list-mbappe-kane-haaland-108917,Position group manually normalized as Forward or Midfielder; defenders and goalkeepers excluded.
24,Jean-Philippe Mateta,France,Forward,+5000,2.0%,69.7%,25.0%,16.7%,24,https://www.rotowire.com/soccer/article/2026-world-cup-golden-boot-odds-full-player-list-mbappe-kane-haaland-108917,Position group manually normalized as Forward or Midfielder; defenders and goalkeepers excluded.
25,Jude Bellingham,England,Midfielder,+5000,2.0%,76.2%,25.0%,13.3%,25,https://www.rotowire.com/soccer/article/2026-world-cup-golden-boot-odds-full-player-list-mbappe-kane-haaland-108917,Position group manually normalized as Forward or Midfielder; defenders and goalkeepers excluded.
26,Gonçalo Ramos,Portugal,Forward,+5000,2.0%,69.7%,16.7%,9.1%,26,https://www.rotowire.com/soccer/article/2026-world-cup-golden-boot-odds-full-player-list-mbappe-kane-haaland-108917,Position group manually normalized as Forward or Midfielder; defenders and goalkeepers excluded.
27,Florian Wirtz,Germany,Midfielder,+5000,2.0%,75.6%,15.4%,6.7%,27,https://www.rotowire.com/soccer/article/2026-world-cup-golden-boot-odds-full-player-list-mbappe-kane-haaland-108917,Position group manually normalized as Forward or Midfielder; defenders and goalkeepers excluded.
28,Marcus Thuram,France,Forward,+5000,2.0%,69.7%,25.0%,16.7%,28,https://www.rotowire.com/soccer/article/2026-world-cup-golden-boot-odds-full-player-list-mbappe-kane-haaland-108917,Position group manually normalized as Forward or Midfielder; defenders and goalkeepers excluded.
29,Neymar,Brazil,Forward,+5000,2.0%,78.7%,20.0%,11.1%,29,https://www.rotowire.com/soccer/article/2026-world-cup-golden-boot-odds-full-player-list-mbappe-kane-haaland-108917,Position group manually normalized as Forward or Midfielder; defenders and goalkeepers excluded.
30,Bruno Fernandes,Portugal,Midfielder,+5000,2.0%,69.7%,16.7%,9.1%,30,https://www.rotowire.com/soccer/article/2026-world-cup-golden-boot-odds-full-player-list-mbappe-kane-haaland-108917,Position group manually normalized as Forward or Midfielder; defenders and goalkeepers excluded.
31,Luis Díaz,Colombia,Forward,+5000,2.0%,29.4%,5.3%,2.4%,31,https://www.rotowire.com/soccer/article/2026-world-cup-golden-boot-odds-full-player-list-mbappe-kane-haaland-108917,Position group manually normalized as Forward or Midfielder; defenders and goalkeepers excluded.
32,Désiré Doué,France,Forward,+5000,2.0%,69.7%,25.0%,16.7%,32,https://www.rotowire.com/soccer/article/2026-world-cup-golden-boot-odds-full-player-list-mbappe-kane-haaland-108917,Position group manually normalized as Forward or Midfielder; defenders and goalkeepers excluded.
33,Mohamed Salah,Egypt,Forward,+5000,2.0%,20.0%,1.2%,0.3%,33,https://www.rotowire.com/soccer/article/2026-world-cup-golden-boot-odds-full-player-list-mbappe-kane-haaland-108917,Position group manually normalized as Forward or Midfielder; defenders and goalkeepers excluded.
34,Kai Havertz,Germany,Forward,+5000,2.0%,75.6%,15.4%,6.7%,34,https://www.rotowire.com/soccer/article/2026-world-cup-golden-boot-odds-full-player-list-mbappe-kane-haaland-108917,Position group manually normalized as Forward or Midfielder; defenders and goalkeepers excluded.
35,Dani Olmo,Spain,Midfielder,+5000,2.0%,81.8%,31.3%,17.4%,35,https://www.rotowire.com/soccer/article/2026-world-cup-golden-boot-odds-full-player-list-mbappe-kane-haaland-108917,Position group manually normalized as Forward or Midfielder; defenders and goalkeepers excluded.
36,Deniz Undav,Germany,Forward,+5000,2.0%,75.6%,15.4%,6.7%,36,https://www.rotowire.com/soccer/article/2026-world-cup-golden-boot-odds-full-player-list-mbappe-kane-haaland-108917,Position group manually normalized as Forward or Midfielder; defenders and goalkeepers excluded.
37,Viktor Gyökeres,Sweden,Forward,+5000,2.0%,18.2%,2.0%,1.0%,37,https://www.rotowire.com/soccer/article/2026-world-cup-golden-boot-odds-full-player-list-mbappe-kane-haaland-108917,Position group manually normalized as Forward or Midfielder; defenders and goalkeepers excluded.
38,Enner Valencia,Ecuador,Forward,+6500,1.5%,22.2%,2.8%,1.2%,38,https://www.rotowire.com/soccer/article/2026-world-cup-golden-boot-odds-full-player-list-mbappe-kane-haaland-108917,Position group manually normalized as Forward or Midfielder; defenders and goalkeepers excluded.
39,Donyell Malen,Netherlands,Forward,+6500,1.5%,56.5%,10.0%,4.8%,39,https://www.rotowire.com/soccer/article/2026-world-cup-golden-boot-odds-full-player-list-mbappe-kane-haaland-108917,Position group manually normalized as Forward or Midfielder; defenders and goalkeepers excluded.
40,Morgan Rogers,England,Midfielder,+6500,1.5%,76.2%,25.0%,13.3%,40,https://www.rotowire.com/soccer/article/2026-world-cup-golden-boot-odds-full-player-list-mbappe-kane-haaland-108917,Position group manually normalized as Forward or Midfielder; defenders and goalkeepers excluded.
41,Santiago Giménez,Mexico,Forward,+6500,1.5%,52.4%,3.8%,1.2%,41,https://www.rotowire.com/soccer/article/2026-world-cup-golden-boot-odds-full-player-list-mbappe-kane-haaland-108917,Position group manually normalized as Forward or Midfielder; defenders and goalkeepers excluded.
42,Darwin Núñez,Uruguay,Forward,+6500,1.5%,21.3%,4.8%,2.0%,42,https://www.rotowire.com/soccer/article/2026-world-cup-golden-boot-odds-full-player-list-mbappe-kane-haaland-108917,Position group manually normalized as Forward or Midfielder; defenders and goalkeepers excluded.
43,Eberechi Eze,England,Midfielder,+6500,1.5%,76.2%,25.0%,13.3%,43,https://www.rotowire.com/soccer/article/2026-world-cup-golden-boot-odds-full-player-list-mbappe-kane-haaland-108917,Position group manually normalized as Forward or Midfielder; defenders and goalkeepers excluded.
44,Loïs Openda,Belgium,Forward,+6500,1.5%,69.7%,7.7%,2.8%,44,https://www.rotowire.com/soccer/article/2026-world-cup-golden-boot-odds-full-player-list-mbappe-kane-haaland-108917,Position group manually normalized as Forward or Midfielder; defenders and goalkeepers excluded.
45,Jamal Musiala,Germany,Midfielder,+6500,1.5%,75.6%,15.4%,6.7%,45,https://www.rotowire.com/soccer/article/2026-world-cup-golden-boot-odds-full-player-list-mbappe-kane-haaland-108917,Position group manually normalized as Forward or Midfielder; defenders and goalkeepers excluded.
46,Leandro Trossard,Belgium,Forward,+6500,1.5%,69.7%,7.7%,2.8%,46,https://www.rotowire.com/soccer/article/2026-world-cup-golden-boot-odds-full-player-list-mbappe-kane-haaland-108917,Position group manually normalized as Forward or Midfielder; defenders and goalkeepers excluded.
47,Marcus Rashford,England,Forward,+6500,1.5%,76.2%,25.0%,13.3%,47,https://www.rotowire.com/soccer/article/2026-world-cup-golden-boot-odds-full-player-list-mbappe-kane-haaland-108917,Position group manually normalized as Forward or Midfielder; defenders and goalkeepers excluded.
48,Matheus Cunha,Brazil,Forward,+6500,1.5%,78.7%,20.0%,11.1%,48,https://www.rotowire.com/soccer/article/2026-world-cup-golden-boot-odds-full-player-list-mbappe-kane-haaland-108917,Position group manually normalized as Forward or Midfielder; defenders and goalkeepers excluded.
49,Alexander Sørloth,Norway,Forward,+6500,1.5%,26.7%,7.7%,3.2%,49,https://www.rotowire.com/soccer/article/2026-world-cup-golden-boot-odds-full-player-list-mbappe-kane-haaland-108917,Position group manually normalized as Forward or Midfielder; defenders and goalkeepers excluded.
50,Alexander Isak,Sweden,Forward,+6500,1.5%,18.2%,2.0%,1.0%,50,https://www.rotowire.com/soccer/article/2026-world-cup-golden-boot-odds-full-player-list-mbappe-kane-haaland-108917,Position group manually normalized as Forward or Midfielder; defenders and goalkeepers excluded.
51,Folarin Balogun,USA,Forward,+8000,1.2%,44.4%,5.3%,1.6%,51,https://www.rotowire.com/soccer/article/2026-world-cup-golden-boot-odds-full-player-list-mbappe-kane-haaland-108917,Position group manually normalized as Forward or Midfielder; defenders and goalkeepers excluded.
52,Kevin De Bruyne,Belgium,Midfielder,+8000,1.2%,69.7%,7.7%,2.8%,52,https://www.rotowire.com/soccer/article/2026-world-cup-golden-boot-odds-full-player-list-mbappe-kane-haaland-108917,Position group manually normalized as Forward or Midfielder; defenders and goalkeepers excluded.
53,Christian Pulisic,USA,Forward,+8000,1.2%,44.4%,5.3%,1.6%,53,https://www.rotowire.com/soccer/article/2026-world-cup-golden-boot-odds-full-player-list-mbappe-kane-haaland-108917,Position group manually normalized as Forward or Midfielder; defenders and goalkeepers excluded.
54,Anthony Gordon,England,Forward,+8000,1.2%,76.2%,25.0%,13.3%,54,https://www.rotowire.com/soccer/article/2026-world-cup-golden-boot-odds-full-player-list-mbappe-kane-haaland-108917,Position group manually normalized as Forward or Midfielder; defenders and goalkeepers excluded.
55,Rafael Leão,Portugal,Forward,+8000,1.2%,69.7%,16.7%,9.1%,55,https://www.rotowire.com/soccer/article/2026-world-cup-golden-boot-odds-full-player-list-mbappe-kane-haaland-108917,Position group manually normalized as Forward or Midfielder; defenders and goalkeepers excluded.
56,Jérémy Doku,Belgium,Forward,+8000,1.2%,69.7%,7.7%,2.8%,56,https://www.rotowire.com/soccer/article/2026-world-cup-golden-boot-odds-full-player-list-mbappe-kane-haaland-108917,Position group manually normalized as Forward or Midfielder; defenders and goalkeepers excluded.
57,Sadio Mané,Senegal,Forward,+8000,1.2%,11.8%,2.4%,1.1%,57,https://www.rotowire.com/soccer/article/2026-world-cup-golden-boot-odds-full-player-list-mbappe-kane-haaland-108917,Position group manually normalized as Forward or Midfielder; defenders and goalkeepers excluded.
58,Leroy Sané,Germany,Forward,+8000,1.2%,75.6%,15.4%,6.7%,58,https://www.rotowire.com/soccer/article/2026-world-cup-golden-boot-odds-full-player-list-mbappe-kane-haaland-108917,Position group manually normalized as Forward or Midfielder; defenders and goalkeepers excluded.
59,Jhon Durán,Colombia,Forward,+8000,1.2%,29.4%,5.3%,2.4%,59,https://www.rotowire.com/soccer/article/2026-world-cup-golden-boot-odds-full-player-list-mbappe-kane-haaland-108917,Position group manually normalized as Forward or Midfielder; defenders and goalkeepers excluded.
60,Raúl Jiménez,Mexico,Forward,+8000,1.2%,52.4%,3.8%,1.2%,60,https://www.rotowire.com/soccer/article/2026-world-cup-golden-boot-odds-full-player-list-mbappe-kane-haaland-108917,Position group manually normalized as Forward or Midfielder; defenders and goalkeepers excluded.
61,Ante Budimir,Croatia,Forward,+8000,1.2%,22.2%,3.4%,1.2%,61,https://www.rotowire.com/soccer/article/2026-world-cup-golden-boot-odds-full-player-list-mbappe-kane-haaland-108917,Position group manually normalized as Forward or Midfielder; defenders and goalkeepers excluded.
62,Brian Brobbey,Netherlands,Forward,+8000,1.2%,56.5%,10.0%,4.8%,62,https://www.rotowire.com/soccer/article/2026-world-cup-golden-boot-odds-full-player-list-mbappe-kane-haaland-108917,Position group manually normalized as Forward or Midfielder; defenders and goalkeepers excluded.
63,Christoph Baumgartner,Austria,Midfielder,+8000,1.2%,18.2%,2.4%,0.7%,63,https://www.rotowire.com/soccer/article/2026-world-cup-golden-boot-odds-full-player-list-mbappe-kane-haaland-108917,Position group manually normalized as Forward or Midfielder; defenders and goalkeepers excluded.
64,Ollie Watkins,England,Forward,+8000,1.2%,76.2%,25.0%,13.3%,64,https://www.rotowire.com/soccer/article/2026-world-cup-golden-boot-odds-full-player-list-mbappe-kane-haaland-108917,Position group manually normalized as Forward or Midfielder; defenders and goalkeepers excluded.
65,Omar Marmoush,Egypt,Forward,+10000,1.0%,20.0%,1.2%,0.3%,65,https://www.rotowire.com/soccer/article/2026-world-cup-golden-boot-odds-full-player-list-mbappe-kane-haaland-108917,Position group manually normalized as Forward or Midfielder; defenders and goalkeepers excluded.
66,Arda Güler,Turkey,Midfielder,+10000,1.0%,33.3%,3.8%,1.0%,66,https://www.rotowire.com/soccer/article/2026-world-cup-golden-boot-odds-full-player-list-mbappe-kane-haaland-108917,Position group manually normalized as Forward or Midfielder; defenders and goalkeepers excluded.
67,Mohammed Kudus,Ghana,Midfielder,+10000,1.0%,9.1%,1.2%,0.3%,67,https://www.rotowire.com/soccer/article/2026-world-cup-golden-boot-odds-full-player-list-mbappe-kane-haaland-108917,Position group manually normalized as Forward or Midfielder; defenders and goalkeepers excluded.
68,Nicolas Jackson,Senegal,Forward,+10000,1.0%,11.8%,2.4%,1.1%,68,https://www.rotowire.com/soccer/article/2026-world-cup-golden-boot-odds-full-player-list-mbappe-kane-haaland-108917,Position group manually normalized as Forward or Midfielder; defenders and goalkeepers excluded.
69,Jonathan David,Canada,Forward,+10000,1.0%,33.3%,2.4%,0.5%,69,https://www.rotowire.com/soccer/article/2026-world-cup-golden-boot-odds-full-player-list-mbappe-kane-haaland-108917,Position group manually normalized as Forward or Midfielder; defenders and goalkeepers excluded.
70,Kenan Yıldız,Turkey,Forward,+10000,1.0%,33.3%,3.8%,1.0%,70,https://www.rotowire.com/soccer/article/2026-world-cup-golden-boot-odds-full-player-list-mbappe-kane-haaland-108917,Position group manually normalized as Forward or Midfielder; defenders and goalkeepers excluded.
71,Pedro Neto,Portugal,Forward,+10000,1.0%,69.7%,16.7%,9.1%,71,https://www.rotowire.com/soccer/article/2026-world-cup-golden-boot-odds-full-player-list-mbappe-kane-haaland-108917,Position group manually normalized as Forward or Midfielder; defenders and goalkeepers excluded.
72,Haji Wright,USA,Forward,+10000,1.0%,44.4%,5.3%,1.6%,72,https://www.rotowire.com/soccer/article/2026-world-cup-golden-boot-odds-full-player-list-mbappe-kane-haaland-108917,Position group manually normalized as Forward or Midfielder; defenders and goalkeepers excluded.
73,Nico Williams,Spain,Forward,+10000,1.0%,81.8%,31.3%,17.4%,73,https://www.rotowire.com/soccer/article/2026-world-cup-golden-boot-odds-full-player-list-mbappe-kane-haaland-108917,Position group manually normalized as Forward or Midfielder; defenders and goalkeepers excluded.
74,Ricardo Pepi,USA,Forward,+10000,1.0%,44.4%,5.3%,1.6%,74,https://www.rotowire.com/soccer/article/2026-world-cup-golden-boot-odds-full-player-list-mbappe-kane-haaland-108917,Position group manually normalized as Forward or Midfielder; defenders and goalkeepers excluded.
75,Scott McTominay,Scotland,Midfielder,+10000,1.0%,9.1%,1.2%,0.5%,75,https://www.rotowire.com/soccer/article/2026-world-cup-golden-boot-odds-full-player-list-mbappe-kane-haaland-108917,Position group manually normalized as Forward or Midfielder; defenders and goalkeepers excluded.
76,Bradley Barcola,France,Forward,+10000,1.0%,69.7%,25.0%,16.7%,76,https://www.rotowire.com/soccer/article/2026-world-cup-golden-boot-odds-full-player-list-mbappe-kane-haaland-108917,Position group manually normalized as Forward or Midfielder; defenders and goalkeepers excluded.
77,Casemiro,Brazil,Midfielder,+10000,1.0%,78.7%,20.0%,11.1%,77,https://www.rotowire.com/soccer/article/2026-world-cup-golden-boot-odds-full-player-list-mbappe-kane-haaland-108917,Position group manually normalized as Forward or Midfielder; defenders and goalkeepers excluded.
78,Charles De Ketelaere,Belgium,Midfielder,+10000,1.0%,69.7%,7.7%,2.8%,78,https://www.rotowire.com/soccer/article/2026-world-cup-golden-boot-odds-full-player-list-mbappe-kane-haaland-108917,Position group manually normalized as Forward or Midfielder; defenders and goalkeepers excluded.
79,Gabriel Martinelli,Brazil,Forward,+10000,1.0%,78.7%,20.0%,11.1%,79,https://www.rotowire.com/soccer/article/2026-world-cup-golden-boot-odds-full-player-list-mbappe-kane-haaland-108917,Position group manually normalized as Forward or Midfielder; defenders and goalkeepers excluded.
80,Rayan Cherki,France,Midfielder,+10000,1.0%,69.7%,25.0%,16.7%,80,https://www.rotowire.com/soccer/article/2026-world-cup-golden-boot-odds-full-player-list-mbappe-kane-haaland-108917,Position group manually normalized as Forward or Midfielder; defenders and goalkeepers excluded.
81,Breel Embolo,Switzerland,Forward,+12000,0.8%,55.6%,5.3%,1.5%,81,https://www.rotowire.com/soccer/article/2026-world-cup-golden-boot-odds-full-player-list-mbappe-kane-haaland-108917,Position group manually normalized as Forward or Midfielder; defenders and goalkeepers excluded.
82,Ismaïla Sarr,Senegal,Forward,+15000,0.7%,11.8%,2.4%,1.1%,82,https://www.rotowire.com/soccer/article/2026-world-cup-golden-boot-odds-full-player-list-mbappe-kane-haaland-108917,Position group manually normalized as Forward or Midfielder; defenders and goalkeepers excluded.
83,Hamza Igamane,Morocco,Forward,+15000,0.7%,21.3%,4.3%,2.0%,83,https://www.rotowire.com/soccer/article/2026-world-cup-golden-boot-odds-full-player-list-mbappe-kane-haaland-108917,Position group manually normalized as Forward or Midfielder; defenders and goalkeepers excluded.
84,Noa Lang,Netherlands,Forward,+15000,0.7%,56.5%,10.0%,4.8%,84,https://www.rotowire.com/soccer/article/2026-world-cup-golden-boot-odds-full-player-list-mbappe-kane-haaland-108917,Position group manually normalized as Forward or Midfielder; defenders and goalkeepers excluded.
85,Hirving Lozano,Mexico,Forward,+15000,0.7%,52.4%,3.8%,1.2%,85,https://www.rotowire.com/soccer/article/2026-world-cup-golden-boot-odds-full-player-list-mbappe-kane-haaland-108917,Position group manually normalized as Forward or Midfielder; defenders and goalkeepers excluded.
86,Lee Kang-in,South Korea,Midfielder,+15000,0.7%,25.0%,1.5%,0.2%,86,https://www.rotowire.com/soccer/article/2026-world-cup-golden-boot-odds-full-player-list-mbappe-kane-haaland-108917,Position group manually normalized as Forward or Midfielder; defenders and goalkeepers excluded.
87,Enzo Fernández,Argentina,Midfielder,+15000,0.7%,77.3%,19.0%,10.0%,87,https://www.rotowire.com/soccer/article/2026-world-cup-golden-boot-odds-full-player-list-mbappe-kane-haaland-108917,Position group manually normalized as Forward or Midfielder; defenders and goalkeepers excluded.
88,Jørgen Strand Larsen,Norway,Forward,+15000,0.7%,26.7%,7.7%,3.2%,88,https://www.rotowire.com/soccer/article/2026-world-cup-golden-boot-odds-full-player-list-mbappe-kane-haaland-108917,Position group manually normalized as Forward or Midfielder; defenders and goalkeepers excluded.
89,Riyad Mahrez,Algeria,Forward,+15000,0.7%,12.5%,1.5%,0.3%,89,https://www.rotowire.com/soccer/article/2026-world-cup-golden-boot-odds-full-player-list-mbappe-kane-haaland-108917,Position group manually normalized as Forward or Midfielder; defenders and goalkeepers excluded.
90,James Rodríguez,Colombia,Midfielder,+15000,0.7%,29.4%,5.3%,2.4%,90,https://www.rotowire.com/soccer/article/2026-world-cup-golden-boot-odds-full-player-list-mbappe-kane-haaland-108917,Position group manually normalized as Forward or Midfielder; defenders and goalkeepers excluded.
91,Brahim Díaz,Morocco,Midfielder,+15000,0.7%,21.3%,4.3%,2.0%,91,https://www.rotowire.com/soccer/article/2026-world-cup-golden-boot-odds-full-player-list-mbappe-kane-haaland-108917,Position group manually normalized as Forward or Midfielder; defenders and goalkeepers excluded.
92,Andrej Kramarić,Croatia,Forward,+15000,0.7%,22.2%,3.4%,1.2%,92,https://www.rotowire.com/soccer/article/2026-world-cup-golden-boot-odds-full-player-list-mbappe-kane-haaland-108917,Position group manually normalized as Forward or Midfielder; defenders and goalkeepers excluded.
93,Jhon Arias,Colombia,Midfielder,+15000,0.7%,29.4%,5.3%,2.4%,93,https://www.rotowire.com/soccer/article/2026-world-cup-golden-boot-odds-full-player-list-mbappe-kane-haaland-108917,Position group manually normalized as Forward or Midfielder; defenders and goalkeepers excluded.
94,Ange-Yoan Bonny,Ivory Coast,Forward,+15000,0.7%,14.3%,1.2%,0.4%,94,https://www.rotowire.com/soccer/article/2026-world-cup-golden-boot-odds-full-player-list-mbappe-kane-haaland-108917,Position group manually normalized as Forward or Midfielder; defenders and goalkeepers excluded.
95,Ivan Toney,England,Forward,+15000,0.7%,76.2%,25.0%,13.3%,95,https://www.rotowire.com/soccer/article/2026-world-cup-golden-boot-odds-full-player-list-mbappe-kane-haaland-108917,Position group manually normalized as Forward or Midfielder; defenders and goalkeepers excluded.
96,Julián Quiñones,Mexico,Forward,+15000,0.7%,52.4%,3.8%,1.2%,96,https://www.rotowire.com/soccer/article/2026-world-cup-golden-boot-odds-full-player-list-mbappe-kane-haaland-108917,Position group manually normalized as Forward or Midfielder; defenders and goalkeepers excluded.
97,Pedri,Spain,Midfielder,+20000,0.5%,81.8%,31.3%,17.4%,97,https://www.rotowire.com/soccer/article/2026-world-cup-golden-boot-odds-full-player-list-mbappe-kane-haaland-108917,Position group manually normalized as Forward or Midfielder; defenders and goalkeepers excluded.
98,Che Adams,Scotland,Forward,+20000,0.5%,9.1%,1.2%,0.5%,98,https://www.rotowire.com/soccer/article/2026-world-cup-golden-boot-odds-full-player-list-mbappe-kane-haaland-108917,Position group manually normalized as Forward or Midfielder; defenders and goalkeepers excluded.
99,Chris Wood,New Zealand,Forward,+20000,0.5%,3.8%,0.3%,0.1%,99,https://www.rotowire.com/soccer/article/2026-world-cup-golden-boot-odds-full-player-list-mbappe-kane-haaland-108917,Position group manually normalized as Forward or Midfielder; defenders and goalkeepers excluded.
100,Oscar Bobb,Norway,Forward,+20000,0.5%,26.7%,7.7%,3.2%,100,https://www.rotowire.com/soccer/article/2026-world-cup-golden-boot-odds-full-player-list-mbappe-kane-haaland-108917,Position group manually normalized as Forward or Midfielder; defenders and goalkeepers excluded.
